ATC Catalogue;;;;
anatomical_grp;therapeutic_subgrp;pharmacol_subgrp;chem_subgrp;chem_substance
P - ANTIPARASITIC PRODUCTS -  INSECTICIDES AND REPELLENTS;P02 - ANTHELMINTICS;P02D - ANTICESTODALS;P02DA - Salicylic acid derivative anticestodals;P02DA01 - niclosamide
J - ANTIINFECTIVES FOR SYSTEMIC USE;J04 - ANTIMYCOBACTERIALS;J04A - DRUGS FOR TREATMENT OF TUBERCULOSIS;J04AK - Other drugs for treatment of tuberculosis in ATC;J04AK05 - bedaquiline
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05C - HYPNOTICS AND SEDATIVES;N05CF - Benzodiazepine related hypnotics and sedatives;N05CF04 - eszopiclone
N - NERVOUS SYSTEM DRUGS;N03 - ANTIEPILEPTICS;N03A - ANTIEPILEPTICS;N03AB - Hydantoin derivatives -  antiepileptics;N03AB03 - amino(diphenylhydantoin) valeric acid
D - DERMATOLOGICALS;D06 - ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE;D06B - CHEMOTHERAPEUTICS FOR TOPICAL USE;D06BB - Antivirals -  topical;D06BB01 - idoxuridine
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05A - ANTIPSYCHOTICS;N05AD - Butyrophenone derivatives -  antipsychotics;N05AD08 - droperidol
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05C - HYPNOTICS AND SEDATIVES;N05CD - Benzodiazepine derivative hypnotics and sedatives;N05CD06 - lormetazepam
G - GENITO URINARY SYSTEM AND SEX HORMONES;G01 - GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS;G01A - ANTIINFECTIVES AND ANTISEPTICS -  EXCL. COMBINATIONS WITH CORTICOSTEROIDS;G01AF - Imidazole derivatives -  gyncological antiinfectives;G01AF14 - propenidazole
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01X - OTHER ANTIBACTERIALS in ATC;J01XC - Steroid antibacterials;J01XC01 - fusidic acid
D - DERMATOLOGICALS;D08 - ANTISEPTICS AND DISINFECTANTS;D08A - ANTISEPTICS AND DISINFECTANTS;D08AC - Biguanides and amidines as antiseptics and disinfectants;D08AC03 - propamidine
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01E - SULFONAMIDES AND TRIMETHOPRIM ANTIBACTERIALS FOR SYSTEMIC USE;J01EE - Combinations of sulfonamides and trimethoprim -  incl. derivatives;J01EE01 - sulfamethoxazole and trimethoprim
C - CARDIOVASCULAR SYSTEM DRUGS;C02 - ANTIHYPERTENSIVES;C02L - ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION;C02LG - Hydrazinophthalazine derivatives and diuretics;C02LG03 - picodralazine and diuretics
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03F - PROGESTOGENS AND ESTROGENS IN COMBINATION;G03FB - Progestogens and estrogens -  sequential preparations;G03FB04 - megestrol and estrogen
R - RESPIRATORY SYSTEM DRUGS;R01 - NASAL PREPARATIONS;R01A - DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE;R01AX - Other nasal preparations in ATC;R01AX01 - calcium hexamine thiocyanate
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01B - AMPHENICOLS;J01BA - Amphenicol antibacterials -  systemic;J01BA02 - thiamphenicol
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05C - HYPNOTICS AND SEDATIVES;N05CM - Other hypnotics and sedatives in ATC;N05CM15 - methylpentynol
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03X - OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM in ATC;G03XB - Progesterone receptor modulators -  sex hormones and modulators of the genital system;G03XB02 - ulipristal
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01F - MYDRIATICS AND CYCLOPLEGICS;S01FB - Sympathomimetics excl. antiglaucoma preparations;S01FB02 - ephedrine
J - ANTIINFECTIVES FOR SYSTEMIC USE;J07 - VACCINES;J07B - VIRAL VACCINES;J07BK - Varicella zoster vaccines;J07BK01 - varicella -  live attenuated
G - GENITO URINARY SYSTEM AND SEX HORMONES;G01 - GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS;G01A - ANTIINFECTIVES AND ANTISEPTICS -  EXCL. COMBINATIONS WITH CORTICOSTEROIDS;G01AF - Imidazole derivatives -  gyncological antiinfectives;G01AF17 - oxiconazole
G - GENITO URINARY SYSTEM AND SEX HORMONES;G02 - OTHER GYNECOLOGICALS in ATC;G02C - OTHER GYNECOLOGICALS in ATC;G02CB - Prolactine inhibitors;G02CB01 - bromocriptine
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05C - HYPNOTICS AND SEDATIVES;N05CM - Other hypnotics and sedatives in ATC;N05CM18 - dexmedetomidine
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01D - OTHER BETA-LACTAM ANTIBACTERIALS in ATC;J01DD - Third-generation cephalosporins;J01DD01 - cefotaxime
G - GENITO URINARY SYSTEM AND SEX HORMONES;G01 - GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS;G01A - ANTIINFECTIVES AND ANTISEPTICS -  EXCL. COMBINATIONS WITH CORTICOSTEROIDS;G01AX - Other gynecological antiinfectives and antiseptics in ATC;G01AX06 - furazolidone
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03C - ESTROGENS -  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03CA - Natural and semisynthetic estrogens -  plain;G03CA06 - chlorotrianisene
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05B - ANXIOLYTICS;N05BX - Other anxiolytics in ATC;N05BX03 - etifoxine
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A10 - DRUGS USED IN DIABETES;A10A - INSULINS AND ANALOGUES;A10AC - Insulins and analogues for injection -  intermediate-acting;A10AC03 - insulin (pork)
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XX - Other antineoplastic agents in ATC;L01XX50 - ixazomib
J - ANTIINFECTIVES FOR SYSTEMIC USE;J05 - ANTIVIRALS FOR SYSTEMIC USE;J05A - DIRECT ACTING ANTIVIRALS;J05AX - Other antivirals in ATC;J05AX23 - ibalizumab
J - ANTIINFECTIVES FOR SYSTEMIC USE;J04 - ANTIMYCOBACTERIALS;J04A - DRUGS FOR TREATMENT OF TUBERCULOSIS;J04AA - Aminosalicylic acid and derivatives;J04AA03 - calcium aminosalicylate
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03A - HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE;G03AB - Progestogens and estrogens systemic contraceptives -  sequential preparations;G03AB04 - norethisterone and ethinylestradiol
J - ANTIINFECTIVES FOR SYSTEMIC USE;J06 - IMMUNE SERA AND IMMUNOGLOBULINS;J06B - IMMUNOGLOBULINS;J06BB - Specific immunoglobulins;J06BB16 - palivizumab
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B01 - ANTITHROMBOTIC AGENTS;B01A - ANTITHROMBOTIC AGENTS;B01AF - Direct factor Xa inhibitors;B01AF02 - apixaban
V - VARIOUS DRUG CLASSES IN ATC;V08 - CONTRAST MEDIA;V08A - X-RAY CONTRAST MEDIA -  IODINATED;V08AC - Watersoluble -  hepatotropic X-ray contrast media;V08AC10 - calcium iopodate
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B05 - BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS;B05X - I.V. SOLUTION ADDITIVES;B05XA - Electrolyte solutions;B05XA07 - calcium chloride
C - CARDIOVASCULAR SYSTEM DRUGS;C10 - LIPID MODIFYING AGENTS;C10B - LIPID MODIFYING AGENTS -  COMBINATIONS;C10BX - HMG CoA reductase inhibitors -  other combinations;C10BX03 - atorvastatin and amlodipine
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B01 - ANTITHROMBOTIC AGENTS;B01A - ANTITHROMBOTIC AGENTS;B01AD - Enzymes -  antithrombotic;B01AD01 - streptokinase
C - CARDIOVASCULAR SYSTEM DRUGS;C05 - VASOPROTECTIVES;C05C - CAPILLARY STABILIZING AGENTS;C05CA - Bioflavonoid drugs for capillary stabilizing;C05CA54 - troxerutin -  combinations
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B05 - BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS;B05C - IRRIGATING SOLUTIONS -  BLOOD SUBSTITUTES AND PERFUSION;B05CA - Antiinfective irrigating solutions;B05CA04 - sulfamethizole
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03A - HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE;G03AA - Progestogens and estrogen systemic contraceptives -  fixed combinations;G03AA16 - dienogest and ethinylestradiol
R - RESPIRATORY SYSTEM DRUGS;R06 - ANTIHISTAMINES FOR SYSTEMIC USE;R06A - ANTIHISTAMINES FOR SYSTEMIC USE;R06AX - Other antihistamines for systemic use in ATC;R06AX27 - desloratadine
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XD - Sensitizers used in photodynamic/radiation therapy;L01XD04 - aminolevulinic acid
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01C - PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS -  ANTINEOPLASTIC DRUGS;L01CD - Taxanes -  antineoplastic;L01CD01 - paclitaxel
R - RESPIRATORY SYSTEM DRUGS;R01 - NASAL PREPARATIONS;R01A - DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE;R01AD - Corticosteroid nasal preparations for topical use;R01AD02 - prednisolone
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01X - OTHER OPHTHALMOLOGICALS IN ATC;S01XA - Other ophthalmologicals in ATC;S01XA12 - dexpanthenol
H - SYSTEMIC HORMONAL PREPARATIONS -  EXCL. SEX HORMONES AND INSULINS;H03 - THYROID THERAPY DRUGS;H03B - ANTITHYROID PREPARATIONS;H03BX - Other antithyroid preparations in ATC;H03BX02 - dibromotyrosine
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B03 - ANTIANEMIC PREPARATIONS;B03X - OTHER ANTIANEMIC PREPARATIONS in ATC;B03XA - Other antianemic preparations in ATC;B03XA02 - darbepoetin alfa
D - DERMATOLOGICALS;D08 - ANTISEPTICS AND DISINFECTANTS;D08A - ANTISEPTICS AND DISINFECTANTS;D08AG - Iodine products -  antiseptics and disinfectants;D08AG04 - diiodohydroxypropane
N - NERVOUS SYSTEM DRUGS;N02 - ANALGESICS;N02A - OPIOID ANALGESICS;N02AJ - Opioids in combination with non-opioid analgesics;N02AJ09 - codeine and other non-opioid analgesics
C - CARDIOVASCULAR SYSTEM DRUGS;C07 - beta-Adrenergic Blocking Agents;C07A - BETA BLOCKING AGENTS;C07AB - Beta blocking agents -  selective;C07AB13 - talinolol
P - ANTIPARASITIC PRODUCTS -  INSECTICIDES AND REPELLENTS;P03 - ECTOPARASITICIDES -  INCL. SCABICIDES -  INSECTICIDES AND REPELLENTS;P03A - ECTOPARASITICIDES -  INCL. SCABICIDES;P03AC - Pyrethrines -  incl. synthetic compounds -  ectoparasiticides -  incl. scabicides;P03AC53 - phenothrin -  combinations
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A10 - DRUGS USED IN DIABETES;A10A - INSULINS AND ANALOGUES;A10AE - Insulins and analogues for injection -  long-acting;A10AE03 - insulin (pork)
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L03 - IMMUNOSTIMULANTS;L03A - IMMUNOSTIMULANTS;L03AX - Other immunostimulants in ATC;L03AX09 - thymopentin
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01A - ALKYLATING AGENTS;L01AD - Nitrosoureas -  antineoplastic alkylating agents;L01AD06 - nimustine
J - ANTIINFECTIVES FOR SYSTEMIC USE;J07 - VACCINES;J07B - VIRAL VACCINES;J07BM - Papillomavirus vaccines;J07BM01 - papillomavirus (human types 6 -  11 -  16 -  18)
M - MUSCULO-SKELETAL SYSTEM DRUGS;M04 - ANTIGOUT PREPARATIONS;M04A - ANTIGOUT PREPARATIONS;M04AX - Other antigout preparations in ATC;M04AX02 - pegloticase
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01R - COMBINATIONS OF ANTIBACTERIALS;J01RA - Combinations of antibacterials;J01RA10 - ciprofloxacin and metronidazole
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01X - OTHER ANTIBACTERIALS in ATC;J01XE - Nitrofuran derivatives -  antibacterials for systemic use;J01XE01 - nitrofurantoin
V - VARIOUS DRUG CLASSES IN ATC;V09 - DIAGNOSTIC RADIOPHARMACEUTICALS;V09C - RENAL SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS;V09CX - Other renal system diagnostic radiopharmaceuticals in ATC;V09CX03 - sodium iothalamate (125I)
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05B - ANXIOLYTICS;N05BD - Dibenzo-bicyclo-octadiene derivative anxiolytics;N05BD01 - benzoctamine
G - GENITO URINARY SYSTEM AND SEX HORMONES;G04 - UROLOGICALS;G04C - DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY;G04CB - Testosterone-5-alpha reductase inhibitors for benign prostatic hypertrophy;G04CB02 - dutasteride
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01D - OTHER BETA-LACTAM ANTIBACTERIALS in ATC;J01DF - Monobactams;J01DF01 - aztreonam
N - NERVOUS SYSTEM DRUGS;N06 - PSYCHOANALEPTICS;N06A - ANTIDEPRESSANTS;N06AB - Selective serotonin reuptake inhibitors;N06AB06 - sertraline
D - DERMATOLOGICALS;D02 - EMOLLIENTS AND PROTECTIVES;D02B - PROTECTIVES AGAINST UV-RADIATION;D02BB - Protectives against UV-radiation for systemic use;D02BB02 - afamelanotide
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A07 - ANTIDIARRHEALS -  INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS;A07A - INTESTINAL ANTIINFECTIVES;A07AA - antibiotics -  intestinal;A07AA54 - streptomycin -  combinations
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L04 - IMMUNOSUPPRESSANTS;L04A - IMMUNOSUPPRESSANTS;L04AA - Selective immunosuppressants;L04AA34 - alemtuzumab
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01E - ANTIGLAUCOMA PREPARATIONS AND MIOTICS;S01EC - Carbonic anhydrase inhibitors -  antiglaucoma drugs and miotics;S01EC02 - diclofenamide
R - RESPIRATORY SYSTEM DRUGS;R05 - COUGH AND COLD PREPARATIONS;R05C - EXPECTORANTS -  EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS;R05CB - Mucolytics;R05CB05 - mesna
V - VARIOUS DRUG CLASSES IN ATC;V03 - ALL OTHER THERAPEUTIC PRODUCTS;V03A - ALL OTHER THERAPEUTIC PRODUCTS;V03AB - Antidotes;V03AB36 - phentolamine
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B03 - ANTIANEMIC PREPARATIONS;B03A - IRON ANTIANEMIC PREPARATIONS;B03AA - Iron bivalent -  oral antianemic preparations;B03AA04 - ferrous carbonate
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01X - OTHER OPHTHALMOLOGICALS IN ATC;S01XA - Other ophthalmologicals in ATC;S01XA15 - ascorbic acid
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01A - ANTIINFECTIVE OPHTHALMOLOGICS;S01AA - Antibiotics -  ophthalmologic;S01AA14 - benzylpenicillin
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05A - ANTIPSYCHOTICS;N05AC - Phenothiazines with piperidine structure -  antipsychotics;N05AC01 - periciazine
G - GENITO URINARY SYSTEM AND SEX HORMONES;G04 - UROLOGICALS;G04C - DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY;G04CX - Other drugs used in benign prostatic hypertrophy in ATC;G04CX04 - fexapotide
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01G - AMINOGLYCOSIDE ANTIBACTERIALS;J01GB - Other aminoglycosides in ATC;J01GB05 - neomycin
D - DERMATOLOGICALS;D08 - ANTISEPTICS AND DISINFECTANTS;D08A - ANTISEPTICS AND DISINFECTANTS;D08AJ - Quaternary ammonium compounds -  antiseptics and disinfectants;D08AJ05 - benzoxonium chloride
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A03 - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03D - ANTISPASMODICS IN COMBINATION WITH ANALGESICS;A03DA - Synthetic anticholinergic agents in combination with analgesics;A03DA03 - bevonium and analgesics
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A10 - DRUGS USED IN DIABETES;A10B - BLOOD GLUCOSE LOWERING DRUGS -  EXCL. INSULINS;A10BG - Thiazolidinediones -  blood glucose lowering drugs;A10BG02 - rosiglitazone
N - NERVOUS SYSTEM DRUGS;N01 - ANESTHETICS;N01A - ANESTHETICS -  GENERAL;N01AA - Ethers for general anesthesia;N01AA02 - vinyl ether
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01A - ANTIINFECTIVE OPHTHALMOLOGICS;S01AA - Antibiotics -  ophthalmologic;S01AA17 - erythromycin
R - RESPIRATORY SYSTEM DRUGS;R05 - COUGH AND COLD PREPARATIONS;R05C - EXPECTORANTS -  EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS;R05CB - Mucolytics;R05CB08 - domiodol
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L02 - ENDOCRINE THERAPY ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L02A - HORMONES AND RELATED AGENTS;L02AA - Estrogens -  endocrine therapy drugs;L02AA04 - fosfestrol
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01B - ANTIINFLAMMATORY AGENTS -  OPHTHALMOLOGIC;S01BB - Corticosteroids and mydriatics in combination;S01BB04 - betamethasone and mydriatics
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01F - MACROLIDES -  LINCOSAMIDES AND STREPTOGRAMINS;J01FA - Macrolides;J01FA05 - oleandomycin
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01G - AMINOGLYCOSIDE ANTIBACTERIALS;J01GB - Other aminoglycosides in ATC;J01GB08 - sisomicin
N - NERVOUS SYSTEM DRUGS;N01 - ANESTHETICS;N01B - LOCAL ANESTHETICS;N01BX - Other local anesthetics in ATC;N01BX04 - capsaicin
H - SYSTEMIC HORMONAL PREPARATIONS -  EXCL. SEX HORMONES AND INSULINS;H01 - PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES;H01C - HYPOTHALAMIC HORMONES;H01CA - Gonadotropin-releasing hormones;H01CA01 - gonadorelin
C - CARDIOVASCULAR SYSTEM DRUGS;C02 - ANTIHYPERTENSIVES;C02C - ANTIADRENERGIC AGENTS -  PERIPHERALLY ACTING;C02CC - Guanine derivatives -  peripherally acting antiadrenergic agents;C02CC02 - guanethidine
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A03 - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03A - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03AB - Synthetic anticholinergics -  quaternary ammonium compounds for functional gastrointestinal disorders;A03AB21 - fenpiverinium
D - DERMATOLOGICALS;D05 - ANTIPSORIATICS;D05A - ANTIPSORIATICS FOR TOPICAL USE;D05AX - Other antipsoriatics for topical use in ATC;D05AX05 - tazarotene
C - CARDIOVASCULAR SYSTEM DRUGS;C02 - ANTIHYPERTENSIVES;C02C - ANTIADRENERGIC AGENTS -  PERIPHERALLY ACTING;C02CA - Alpha-adrenoreceptor antagonists -  peripherally acting;C02CA01 - prazosin
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B03 - ANTIANEMIC PREPARATIONS;B03B - VITAMIN B12 AND FOLIC ACID;B03BB - Folic acid and derivatives as antianemics;B03BB51 - folic acid -  combinations
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A03 - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03B - BELLADONNA AND DERIVATIVES CONTAINING DRUGS -  PLAIN FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03BB - Belladonna alkaloids -  semisynthetic -  quaternary ammonium compounds for functional gastrointestinal disorders;A03BB01 - butylscopolamine
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A16 - OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC;A16A - OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC;A16AX - Various alimentary tract and metabolism products;A16AX14 - migalastat
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B05 - BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS;B05B - IV solutions used in parenteral administration of fluids -  electrolytes and nutrients;B05BA - Solutions for parenteral nutrition;B05BA02 - fat emulsions
J - ANTIINFECTIVES FOR SYSTEMIC USE;J05 - ANTIVIRALS FOR SYSTEMIC USE;J05A - DIRECT ACTING ANTIVIRALS;J05AX - Other antivirals in ATC;J05AX01 - moroxydine
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03G - GONADOTROPINS AND OTHER OVULATION STIMULANTS;G03GA - Gonadotropins;G03GA09 - corifollitropin alfa
C - CARDIOVASCULAR SYSTEM DRUGS;C10 - LIPID MODIFYING AGENTS;C10A - LIPID MODIFYING AGENTS -  PLAIN;C10AX - Other lipid modifying agents in ATC;C10AX01 - dextrothyroxine
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01D - OTHER BETA-LACTAM ANTIBACTERIALS in ATC;J01DC - Second-generation cephalosporins;J01DC10 - cefprozil
D - DERMATOLOGICALS;D07 - CORTICOSTEROIDS -  DERMATOLOGICAL PREPARATIONS;D07B - CORTICOSTEROIDS -  COMBINATIONS WITH ANTISEPTICS;D07BC - Corticosteroids -  potent -  combinations with antiseptics;D07BC03 - fluocortolone and antiseptics
V - VARIOUS DRUG CLASSES IN ATC;V09 - DIAGNOSTIC RADIOPHARMACEUTICALS;V09I - TUMOUR DETECTION RADIOPHARMACEUTICALS;V09IA - Technetium 99m compounds -  tumor detection radiopharmaceuticals;V09IA03 - technetium (99mTc) pentavalent succimer
V - VARIOUS DRUG CLASSES IN ATC;V03 - ALL OTHER THERAPEUTIC PRODUCTS;V03A - ALL OTHER THERAPEUTIC PRODUCTS;V03AC - Iron chelating agents;V03AC02 - deferiprone
R - RESPIRATORY SYSTEM DRUGS;R06 - ANTIHISTAMINES FOR SYSTEMIC USE;R06A - ANTIHISTAMINES FOR SYSTEMIC USE;R06AE - Piperazine derivatives -  systemic antihistamines;R06AE03 - cyclizine
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A07 - ANTIDIARRHEALS -  INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS;A07F - ANTIDIARRHEAL MICROORGANISMS;A07FA - Antidiarrheal microorganisms;A07FA51 - lactic acid producing organisms -  combinations
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A16 - OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC;A16A - OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC;A16AX - Various alimentary tract and metabolism products;A16AX01 - thioctic acid
C - CARDIOVASCULAR SYSTEM DRUGS;C07 - beta-Adrenergic Blocking Agents;C07F - BETA BLOCKING AGENTS -  OTHER COMBINATIONS;C07FB - Beta blocking agents and calcium channel blockers;C07FB13 - metoprolol and amlodipine
D - DERMATOLOGICALS;D07 - CORTICOSTEROIDS -  DERMATOLOGICAL PREPARATIONS;D07X - CORTICOSTEROIDS -  OTHER COMBINATIONS;D07XB - Corticosteroids -  moderately potent -  other combinations;D07XB01 - flumetasone
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A10 - DRUGS USED IN DIABETES;A10B - BLOOD GLUCOSE LOWERING DRUGS -  EXCL. INSULINS;A10BB - Sulfonylureas for blood glucose lowering;A10BB08 - gliquidone
D - DERMATOLOGICALS;D07 - CORTICOSTEROIDS -  DERMATOLOGICAL PREPARATIONS;D07A - CORTICOSTEROID DERMATOLOGICAL PREPARATIONS -  PLAIN;D07AB - Corticosteroids -  moderately potent (group II);D07AB19 - dexamethasone
D - DERMATOLOGICALS;D07 - CORTICOSTEROIDS -  DERMATOLOGICAL PREPARATIONS;D07A - CORTICOSTEROID DERMATOLOGICAL PREPARATIONS -  PLAIN;D07AB - Corticosteroids -  moderately potent (group II);D07AB03 - flumetasone
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A12 - MINERAL SUPPLEMENTS;A12C - OTHER MINERAL SUPPLEMENTS in ATC;A12CC - Magnesium supplements -  alimentary tract and metabolism;A12CC08 - magnesium pidolate
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05B - ANXIOLYTICS;N05BA - Benzodiazepine derivative anxiolytics;N05BA13 - halazepam
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A04 - ANTIEMETICS AND ANTINAUSEANTS;A04A - ANTIEMETICS AND ANTINAUSEANTS;A04AD - Other antiemetics in ATC;A04AD14 - rolapitant
C - CARDIOVASCULAR SYSTEM DRUGS;C02 - ANTIHYPERTENSIVES;C02C - ANTIADRENERGIC AGENTS -  PERIPHERALLY ACTING;C02CA - Alpha-adrenoreceptor antagonists -  peripherally acting;C02CA04 - doxazosin
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A16 - OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC;A16A - OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC;A16AB - Enzymes for ALIMENTARY TRACT AND METABOLISM;A16AB02 - imiglucerase
C - CARDIOVASCULAR SYSTEM DRUGS;C03 - DIURETICS;C03B - LOW-CEILING DIURETICS -  EXCL. THIAZIDES;C03BB - Sulfonamides and potassium in combination -  low-ceiling diruetics -  excluding thiazides;C03BB07 - clofenamide and potassium
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01A - ANTIINFECTIVE OPHTHALMOLOGICS;S01AD - Antivirals -  ophthalmologic;S01AD05 - interferon
